Temperature,Humidity,Atmospheric Pressure,Wind Speed,Visibility,Carbon,Hydrogen,Smoke,Gas Leak,Latitude,Longitude,City Name,Timestamp
28.96,71,1009,3.74,10000,2480,3183,1426,3201,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:54:56 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2503,2592,1419,2453,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:55:08 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2489,2768,1435,2800,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:55:20 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2480,1072,1431,1098,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:55:32 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2470,119,1407,48,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:55:43 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2500,3335,1424,3185,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:55:56 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2480,113,1408,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:56:08 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2432,191,1392,54,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:56:20 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2465,3216,1406,3201,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:56:31 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2480,724,1392,487,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:56:44 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2473,2597,1369,2427,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:56:55 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2411,317,1394,167,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:57:09 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2459,2969,1389,2896,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:57:21 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2498,1300,1383,1224,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:57:33 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2496,3120,1367,3071,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:57:44 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2608,3391,1614,3289,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:57:56 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2448,2879,1455,3107,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:58:08 GMT+0530 (India Standard Time)
28.96,71,1009,3.74,10000,2448,167,1456,42,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:58:20 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2430,0,1323,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 14:59:49 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2357,374,1296,317,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:00:25 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2432,87,1359,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:00:36 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2415,0,1326,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:00:47 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2416,3216,1301,3511,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:01:00 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2362,3184,1287,3358,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:01:12 GMT+0530 (India Standard Time)
28.96,71,1008,3.72,10000,2413,0,1326,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:01:23 GMT+0530 (India Standard Time)
