Temperature,Humidity,Atmospheric Pressure,Wind Speed,Visibility,Carbon,Hydrogen,Smoke,Gas Leak,Latitude,Longitude,City Name,Timestamp
29.85,73,1008,3.47,10000,2091,279,1170,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:34:01 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2174,337,1162,14,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:37:02 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2213,272,1134,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:40:03 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2174,511,1128,187,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:43:05 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2141,245,1115,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:46:06 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2187,227,1114,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:49:08 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2221,413,1126,126,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:52:09 GMT+0530 (India Standard Time)
29.96,73,1008,3.47,10000,2128,112,1069,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:55:10 GMT+0530 (India Standard Time)
29.96,73,1009,3.58,10000,2175,246,1089,4,16.43,80.57,Mangalagiri,Tue Nov 12 2024 15:58:12 GMT+0530 (India Standard Time)
29.96,81,1009,2.94,5254,2014,117,1088,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:01:14 GMT+0530 (India Standard Time)
29.96,81,1009,2.94,5254,2103,0,1072,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:04:24 GMT+0530 (India Standard Time)
29.96,81,1009,2.94,5254,2074,974,1077,944,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:04:36 GMT+0530 (India Standard Time)
29.96,81,1009,2.94,5254,2063,2607,1063,2417,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:04:47 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2085,0,1085,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:04:58 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2099,4095,1083,4095,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:05:09 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2078,0,1095,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:05:20 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2045,4095,1076,4095,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:05:31 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2100,0,1077,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:05:42 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2087,738,1076,724,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:05:53 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2114,3518,1077,3257,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:06:04 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2117,4095,1051,4095,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:06:15 GMT+0530 (India Standard Time)
29.96,81,1009,2.81,7136,2098,0,1061,0,16.43,80.57,Mangalagiri,Tue Nov 12 2024 16:06:26 GMT+0530 (India Standard Time)
